axes_hydrostatic_tank_level,main_hydraulic_tank_level,table_hydrostatic_tank_level,oil_level_of_coolant_tank,hydraulic_unit_oil_pump_22m2_current__r,hydraulic_unit_oil_pump_22m2_current__y,hydraulic_unit_oil_pump_22m2_current__b,vibration_of_hydraulic_unit_oil_pump_22m2,flow_of_hydraulic_unit_oil_pump_22m2,pressure_of_hydraulic_unit_oil_pump_22m2,hydraulic_unit_oil_pump_22m6_current__r,hydraulic_unit_oil_pump_22m6_current__y,hydraulic_unit_oil_pump_22m6_current__b,vibration_of_hydraulic_unit_oil_pump_22m6,flow_of_hydraulic_unit_oil_pump_22m6,pressure_of_hydraulic_unit_oil_pump_22m6,gearbox_oil_delivery_pump_39m2_current__r,gearbox_oil_delivery_pump_39m2_current__y,gearbox_oil_delivery_pump_39m2_current__b,vibration_of_gearbox_oil_delivery_pump_39m2,flow_of_gearbox_oil_delivery_pump_39m2,pressure_of_gearbox_oil_delivery_pump_39m2,gearbox_oil_delivery_pump_39m3_current__r,gearbox_oil_delivery_pump_39m3_current__y,gearbox_oil_delivery_pump_39m3_current__b,vibration_of_gearbox_oil_delivery_pump_39m3,flow_of_gearbox_oil_delivery_pump_39m3,pressure_of_gearbox_oil_delivery_pump_39m3,oil_delivery_pump_tp_x_pockets_40m2_current__r,oil_delivery_pump_tp_x_pockets_40m2_current__y,oil_delivery_pump_tp_x_pockets_40m2_current__b,vibration_of_oil_delivery_pump_tp_x_pockets_40m2,flow_of_oil_delivery_pump_tp_x_pockets_40m2,pressure_of_oil_delivery_pump_tp_x_pockets_40m2,oil_delivery_pump_tp_y_pockets_40m4_current__r,oil_delivery_pump_tp_y_pockets_40m4_current__y,oil_delivery_pump_tp_y_pockets_40m4_current__b,vibraton_of_oil_delivery_pump_tp_x_pockets_40m4,flow_of_oil_delivery_pump_tp_x_pockets_40m4,pressure_of_oil_delivery_pump_tp_x_pockets_40m4,vibraton_of_right_side_lead_screw,vibraton_of_left_side_lead_screw,temperature_of_right_side_lead_screw,temperature_of_left_side_lead_screw,vibraton_of_cross_rail_motor,temp_axes_hydrostatic_tank,temp_main_hydraulic_tank,temp_table_hydrostatic_tank,cs1000__axes_hydrostatics_tank,cs1000__main_hydraulic_tank,cs1000__table_hydrostatics_tank,dew_point,inclination__x,inclination__y,cross_rail_lub_tank_level,table_vibration,air_pressure_inlet_line,main_hydraulic_tank_22m5_flow,main_hydraulic_tank_22m5_pressure,table_hydrostatics_40m6_flow,table_hydrostatics_40m6_pressure,cross_rail_vfd_current,lub_pump_for_sw_220_tank,main_power_supply_current_y,main_power_supply_current_r,main_power_supply_current_b,main_power_supply_voltage_r,main_power_supply_voltage_y,main_power_supply_voltage_b,main_power_supply_total_power,main_supply_energy,entrytime
389.43143,228.33496,495.52588,778.48303,12.154948,12.322048,13.036024,0.5009404,0,145.3541,10.868055,10.683594,11.662326,1.0534216,4.981875,119.4571,2.357856,2.4913197,2.4609375,0.7586444,8.719875,49.49725,2.2113717,2.3057725,2.2873263,1.0814525,20.916668,25.137442,6.40625,6.5125866,6.8858504,3.0870225,139.69,19.684969,6.3595924,6.287977,6.735026,0.64652056,132.3,23.338036,0,0,30.967882,31.228298,0,40.06619,44.89294,36.328125,14,12,14,4.786603,0.30273557,0.14648616,125.200195,-0.21701455,5.96318,66.904724,11.827256,0,4.457827,0.14467593,115.25246,56.808655,53.715794,60.71078,409.04358,411.49615,408.9577,24.257942,116127.78,44744.5402546296
389.26868,229.01077,495.21844,777.3112,12.1484375,12.322048,13.055555,0.48556858,0,145.41739,10.896268,10.698785,11.701389,1.3590496,4.981875,118.8784,2.357856,2.4934897,2.4652777,1.2333623,8.720156,49.551506,2.202691,2.297092,2.2753906,1.1610243,20.916668,24.784794,6.4051647,6.511502,6.886936,3.108724,139.69,19.69401,6.328125,6.2597656,6.7133245,0.68992335,132.295,23.338036,0,0,30.967882,31.221066,0,40.01736,44.864006,36.255787,14,13,14,4.7012444,0.30273557,0.13997376,124.48405,-0.21882206,5.96318,66.904724,11.818214,0,4.457827,0.14467593,115.25246,56.750378,53.6109,61.01219,409.04358,411.49615,408.9577,24.257942,116127.805,44744.5402777778
389.73886,229.13864,495.00323,778.90625,12.154948,12.302518,13.077257,0.44668695,0,145.38123,10.857204,10.640191,11.662326,1.1546947,4.981875,119.01403,2.3556857,2.4913197,2.4641929,1.3111256,8.720156,49.804688,2.2081163,2.3046875,2.284071,1.0823567,20.916668,24.757668,6.3975697,6.5028214,6.892361,3.0752676,139.69499,19.712093,6.374783,6.294488,6.7621527,0.70529515,132.29,23.328993,0,0,30.967882,31.228298,0,40.039062,44.885708,36.255787,14,7,14,4.611545,0.315755,0.13671756,124.35275,-0.21701455,5.96318,67.03363,11.836299,0,4.457827,0.14467593,115.42426,56.750378,53.6109,61.01219,408.91318,411.1107,409.27216,24.350578,116127.805,44744.5403009259
388.45486,228.29843,495.5874,778.93884,12.157118,12.326389,13.016493,0.4340278,0,145.39026,10.885416,10.696614,11.655815,0.98379624,4.981875,118.97787,2.3546007,2.486979,2.454427,0.7116247,8.719875,49.623844,2.2102864,2.300347,2.2797308,1.0398582,20.916668,24.811922,6.4073353,6.5125866,6.87717,3.1530309,139.69,19.684969,6.3302956,6.265191,6.6927085,0.66189235,132.295,23.338036,0,0,30.967882,31.228298,0,39.984806,44.900173,36.270256,14,0.51168257,14,4.7497106,0.30273557,0.1562494,124.35873,-0.21882206,5.963903,67.21029,11.827256,0,4.457827,0.14467593,115.77691,56.640736,53.523968,60.964428,408.91318,411.1107,409.27216,24.350578,116127.84,44744.5403240741
388.65378,228.682,494.63437,777.86456,12.174479,12.296007,13.018663,0.48285592,0,145.36314,10.874566,10.646702,11.623264,0.84816265,4.981875,118.670425,2.3556857,2.4837239,2.455512,1.5417029,8.720156,49.786602,2.2059462,2.2992623,2.2732205,1.1980975,20.916668,24.866175,6.40191,6.488715,6.87283,3.2307942,139.69,19.69401,6.3595924,6.2575955,6.700304,0.7016782,132.295,23.328993,0,0,30.967882,31.228298,0,40.011936,44.921875,36.270256,14,13,14,4.84809,0.3092426,0.113934875,124.40647,-0.21701455,5.9624567,67.21268,11.836299,0,4.4759116,0.14467593,115.270546,56.640736,53.523968,60.964428,408.6571,410.55243,408.3495,24.300129,116127.84,44744.5403472222
388.25592,228.48108,494.94177,779.65497,12.144097,12.319879,13.020834,0.5217376,0,145.38123,10.889757,10.709635,11.666667,0.98379624,4.981875,119.104454,2.3611112,2.4913197,2.4565973,1.5308522,8.720156,49.840855,2.2113717,2.2992623,2.2775607,1.0561342,20.916668,24.80288,6.409505,6.520182,6.878255,3.0508535,139.7,19.69401,6.3671875,6.3031683,6.7285156,0.6790726,132.29,23.328993,0,0,30.967882,31.228298,0,40.071613,44.943577,36.27749,14,13,14,4.812645,0.30599177,0.1595056,124.758575,-0.21882206,5.965712,67.21268,11.80013,0,4.4487844,0.14467593,115.41522,56.72122,53.629826,60.893665,408.6571,410.55243,408.3495,24.300129,116127.87,44744.5403703704
390.10052,228.64548,495.00323,778.22266,12.150608,12.309029,13.114149,0.48014322,0,145.36314,10.885416,10.668404,11.729601,1.2125652,4.981875,118.76989,2.3524306,2.498915,2.468533,0.75683594,8.720156,49.75043,2.2048612,2.3014324,2.284071,1.1935765,20.916668,24.811922,6.4073353,6.533203,6.925998,2.898944,139.7,19.703053,6.3302956,6.25,6.740452,0.6492332,132.3,23.31995,0,0,30.96065,31.228298,0,40.049915,44.958042,36.28472,14,12,14,4.754051,0.30273557,0.13671756,123.98275,-0.21701455,5.963542,67.21029,11.827256,0,4.4487844,0.14467593,115.41522,56.72122,53.629826,60.893665,409.44168,411.12973,409.37717,24.369438,116127.87,44744.5403935185
388.61765,229.81445,495.8333,778.3203,12.144097,12.285156,13.103298,0.49551508,0,145.3993,10.902779,10.670573,11.746962,1.3102214,4.981875,118.8151,2.3491755,2.4934897,2.466363,1.4205368,8.720156,49.96745,2.202691,2.297092,2.2797308,1.0561342,20.916668,24.703415,6.4073353,6.5310326,6.9292536,3.0183015,139.7,19.69401,6.3736978,6.2890625,6.783854,0.664605,132.3,23.347078,0,0,30.967882,31.228298,0,40.071613,44.97251,36.24132,14,12,14,4.795284,0.32551825,0.149737,124.46615,-0.21882206,5.964265,66.21723,11.845342,0,4.4487844,0.14467593,115.75883,56.923695,53.467747,61.21008,409.44168,411.12973,409.37717,24.369438,116127.9,44744.5404166667
388.79846,229.5222,494.4499,779.78516,12.146267,12.311198,13.111979,0.4204644,0,145.42644,10.868055,10.674913,11.707899,1.2143736,4.981875,118.85127,2.3502605,2.4913197,2.4620228,1.2360749,8.720156,49.52438,2.1972656,2.296007,2.2786458,0.9349681,20.916,24.739584,6.4029946,6.5310326,6.916233,3.0183015,139.7,19.684969,6.3378906,6.264106,6.740452,0.66912615,132.3,23.328993,0,0,30.967882,31.228298,0,40.05534,44.943577,36.248554,14,1,14,4.7554975,0.3450501,0.13997376,124.090164,-0.21701455,5.962818,66.90234,11.827256,0,4.4487844,0.14467593,115.18916,56.923695,53.467747,61.21008,409.43536,411.35806,408.97247,24.312283,116127.9,44744.5404398148
389.12396,229.83272,495.77185,777.2786,12.141928,12.302518,13.107639,0.46657985,0,145.3993,10.878906,10.672743,11.71658,0.8544922,4.981875,118.75181,2.3513455,2.4945745,2.4641929,0.6863064,8.720156,49.42491,2.200521,2.2938368,2.2829862,1.0489005,20.916,24.314598,6.3975697,6.5321183,6.920573,3.1448932,139.7,19.703053,6.332465,6.271702,6.752387,0.69082755,132.295,23.347078,0,0,30.96065,31.221066,0,40.071613,44.958042,36.248554,14,7,14,4.6412034,0.27994752,0.13671756,124.48405,-0.21701455,5.9649887,67.21029,11.827256,0,4.457827,0.14467593,115.270546,57.02099,53.39535,61.185997,409.43536,411.35806,408.97247,24.312283,116127.92,44744.540462963
